Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Latitude,Longitude,Area,Canyon,Path_Position,Distance_to_Road,Scenic_Loop_Order
Climb Warp,Climb Bomb > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/111443423/climb-warp,2.0,-1,Sport,5.11a,1,50.0,36.14658,-115.42697,Climb Bomb,First Pullout (Calico I),0.2727272727272727,0.1137106134127033,219
Climb Bomb,Climb Bomb > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/111443428/climb-bomb,1.0,-1,Sport,5.11d,1,55.0,36.14658,-115.42697,Climb Bomb,First Pullout (Calico I),0.2727272727272727,0.1137106134127033,220
Barfing bone balls,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/123246249/barfing-bone-balls,2.0,-1,Trad,5.8,1,100.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,221
Epic Curious,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116585152/epic-curious,2.2,-1,Sport,5.8,1,50.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,222
Is this now?,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116585158/is-this-now,2.3,-1,Sport,5.9-,1,50.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,223
Wash Away the Rain,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116585164/wash-away-the-rain,2.4,-1,Sport,5.9+,1,50.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,224
Strangers to Ourselves,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116585170/strangers-to-ourselves,2.5,-1,Sport,5.10a,1,60.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,225
Bottomless Pit,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926159/bottomless-pit,2.8,-1,Sport,5.10a,1,75.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,226
Climb Machine,Climb Bomb > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/111443420/climb-machine,2.0,-1,Trad,5.9,1,40.0,36.14658,-115.42697,Climb Bomb,First Pullout (Calico I),0.2727272727272727,0.1137106134127033,227
Quasar,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926153/quasar,1.5,-1,Trad,5.1,1,75.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,228
Black Bomber,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926164/black-bomber,2.7,-1,Trad,5.1,1,75.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,229
Lil's Juicy Juice,Jessica's Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109868505/lils-juicy-juice,2.1,-1,Sport,5.8,1,30.0,36.14467,-115.42562,Jessica's Wall,First Pullout (Calico I),0.2727272727272727,0.2656667596409018,230
Light Blue,Jessica's Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109868519/light-blue,2.0,-1,Trad,5.8,1,30.0,36.14467,-115.42562,Jessica's Wall,First Pullout (Calico I),0.2727272727272727,0.2656667596409018,231
Here Comes the Sun,Jessica's Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109868514/here-comes-the-sun,2.5,-1,Sport,5.9,1,35.0,36.14467,-115.42562,Jessica's Wall,First Pullout (Calico I),0.2727272727272727,0.2656667596409018,232
Big Head,Jessica's Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109868526/big-head,2.5,-1,Sport,5.10a,1,30.0,36.14467,-115.42562,Jessica's Wall,First Pullout (Calico I),0.2727272727272727,0.2656667596409018,233
Climb Bandits,Climb Bandits Area > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105807005/climb-bandits,0.0,-1,Trad,5.10b R,1,45.0,36.14661,-115.42653,Climb Bandits Area,First Pullout (Calico I),0.2727272727272727,0.1263019814517438,234
The End,The Black Hole > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926172/the-end,2.6,-1,Sport,5.10b,1,50.0,36.1461,-115.42647,The Black Hole,First Pullout (Calico I),0.2727272727272727,0.1566005008895469,235
The Crevasse,Jessica's Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109868551/the-crevasse,2.3,-1,Trad,5.10- R,1,30.0,36.14467,-115.42562,Jessica's Wall,First Pullout (Calico I),0.2727272727272727,0.2656667596409018,236
The Loadstone,The Sundial > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/114119397/the-loadstone,2.0,-1,Sport,5.11b/c,1,35.0,36.14675,-115.42727,The Sundial,First Pullout (Calico I),0.2728821178821175,0.09434968888618,237
This is Sparta,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106757203/this-is-sparta,2.0,-1,Sport,5.9,1,60.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,238
Ming Dynasty,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106686441/ming-dynasty,2.5,-1,Sport,5.9+,1,40.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,239
Byzantium,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106686416/byzantium,2.4,-1,Sport,5.10b,1,45.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,240
Umayyad Caliphate,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109545942/umayyad-caliphate,2.6,-1,Sport,5.9+,1,60.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,241
Mongol Hoarde,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106686396/mongol-hoarde,2.9,-1,Sport,5.10a,1,40.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,242
Babylon 5.8,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106757206/babylon-58,2.0,-1,Sport,5.8,1,40.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,243
The Fall of Rome,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106718692/the-fall-of-rome,2.6,-1,Sport,5.10b,1,70.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,244
Manifest Destiny,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106718688/manifest-destiny,3.0,-1,Sport,5.9+,1,70.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,245
Sultans and Viziers,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109545922/sultans-and-viziers,2.3,-1,Sport,5.8,1,55.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,246
Evil Empire,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107155992/evil-empire,2.6,-1,Trad,5.11a,1,30.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,247
The Three Kingdoms,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109545754/the-three-kingdoms,2.2,-1,Sport,5.7,1,70.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,248
Meerkat Manor,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108511095/meerkat-manor,1.8,-1,Trad,5.7,1,75.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,249
The Sun Never Sets,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106718682/the-sun-never-sets,2.1,-1,Sport,5.7,1,55.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,250
Conquistador,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106757210/conquistador,3.1,-1,Sport,5.10d,1,35.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,251
Five Charter Oath,Civilization Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109545907/five-charter-oath,2.3,-1,Sport,5.8-,1,55.0,36.14543,-115.42639,Civilization Crag,First Pullout (Calico I),0.2728821178821248,0.197935518077817,252
Hammy the Girl,Great Red Roof Area > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108975393/hammy-the-girl,2.0,-1,Sport,5.10c,1,40.0,36.15021,-115.42965,Great Red Roof Area,First Pullout (Calico I),0.2729920079920064,0.1798249161085454,253
Cascading Cacti,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/125605044/cascading-cacti,2.0,-1,Sport,5.10c,1,60.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,254
Xmas Cactus,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/125605083/xmas-cactus,2.9,-1,Sport,5.10d,1,65.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,255
Over a Barrel,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697487/over-a-barrel,3.0,-1,Sport,5.10d,1,70.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,256
Cactus Hugger,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697730/cactus-hugger,2.5,-1,Sport,5.10d,1,70.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,257
One Flew Over a Cactus Nest,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697386/one-flew-over-a-cactus-nest,2.6,-1,Sport,5.10b,1,70.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,258
Cactus Juice,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/121862988/cactus-juice,2.4,-1,Sport,5.9,1,75.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,259
Cactus Head,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697590/cactus-head,1.6,-1,Trad,5.9,1,90.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,260
Cholla,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/121863071/cholla,2.7,-1,Sport,5.8,1,75.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,261
Never Kiss a Cactus,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116694502/never-kiss-a-cactus,2.3,-1,Sport,5.8,1,70.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,262
Agave,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/125604973/agave,2.0,-1,Sport,5.7,1,50.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,263
Cactus Root,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697604/cactus-root,3.0,-1,Sport,5.11c,1,60.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,264
Cactus Massacre,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/114115286/cactus-massacre,3.3,-1,Sport,5.11c,1,60.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,265
Saguaro,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697646/saguaro,2.7,-1,Sport,5.11b,1,60.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,266
Cactus Pete,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697801/cactus-pete,2.8,-1,Sport,5.10a,1,70.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,267
Straight to the Point,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697694/straight-to-the-point,2.6,-1,Sport,5.11a,1,70.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,268
Cactus Killa,Cactus Massacre > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116697532/cactus-killa,3.1,-1,Sport,5.11b,1,60.0,36.14687,-115.42762,Cactus Massacre,First Pullout (Calico I),0.2732867132867277,0.0751537833904892,269
Blank Czech,Meat Puppets Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116759863/blank-czech,1.0,-1,Sport,5.11c,1,35.0,36.14749,-115.42804,Meat Puppets Wall,First Pullout (Calico I),0.2732967032967066,0.0262585276207142,270
Danger Dawg,Meat Puppets Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108590229/danger-dawg,1.6,-1,Sport,5.1,1,25.0,36.14749,-115.42804,Meat Puppets Wall,First Pullout (Calico I),0.2732967032967066,0.0262585276207142,271
Crawdad,Meat Puppets Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108590211/crawdad,2.0,-1,Trad,5.11d,1,35.0,36.14749,-115.42804,Meat Puppets Wall,First Pullout (Calico I),0.2732967032967066,0.0262585276207142,272
Yellow Dog,Meat Puppets Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108590221/yellow-dog,1.8,-1,Trad,5.11a,1,25.0,36.14749,-115.42804,Meat Puppets Wall,First Pullout (Calico I),0.2732967032967066,0.0262585276207142,273
Ranger Danger,Meat Puppets Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108590235/ranger-danger,1.5,-1,Trad,5.10+,1,20.0,36.14749,-115.42804,Meat Puppets Wall,First Pullout (Calico I),0.2732967032967066,0.0262585276207142,274
Times like these,Cactus Corridor > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122022126/times-like-these,2.2,-1,Sport,5.9,1,40.0,36.14691,-115.42791,Cactus Corridor,First Pullout (Calico I),0.2736813186813234,0.0624772489111648,275
Reprobate,Cactus Corridor > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122479970/reprobate,2.8,-1,Sport,5.9,1,35.0,36.14691,-115.42791,Cactus Corridor,First Pullout (Calico I),0.2736813186813234,0.0624772489111648,276
Shine On J.P.,Cactus Corridor > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122022084/shine-on-jp,2.2,-1,Sport,5.9,1,35.0,36.14691,-115.42791,Cactus Corridor,First Pullout (Calico I),0.2736813186813234,0.0624772489111648,277
So Glad You Made It,Cactus Corridor > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122022174/so-glad-you-made-it,2.7,-1,Sport,5.10b,1,40.0,36.14691,-115.42791,Cactus Corridor,First Pullout (Calico I),0.2736813186813234,0.0624772489111648,278
Truth #2,Cactus Corridor > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122022239/truth-2,2.9,-1,Sport,5.10d,1,45.0,36.14691,-115.42791,Cactus Corridor,First Pullout (Calico I),0.2736813186813234,0.0624772489111648,279
White After Labor Day,Cactus Corridor > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122479646/white-after-labor-day,2.6,-1,Sport,5.10b,1,40.0,36.14691,-115.42791,Cactus Corridor,First Pullout (Calico I),0.2736813186813234,0.0624772489111648,280
Off the Leash,The CarlyQuinn Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120563697/off-the-leash,2.5,-1,Sport,5.10c/d,1,60.0,36.14475,-115.42653,The CarlyQuinn Crag,First Pullout (Calico I),0.273771228771234,0.2298083399762019,281
Full Body Wag,The CarlyQuinn Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120563687/full-body-wag,2.2,-1,Sport,5.10b,1,65.0,36.14475,-115.42653,The CarlyQuinn Crag,First Pullout (Calico I),0.273771228771234,0.2298083399762019,282
Keeping Up with Carly,The CarlyQuinn Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120563663/keeping-up-with-carly,2.2,-1,Sport,5.10a,1,50.0,36.14475,-115.42653,The CarlyQuinn Crag,First Pullout (Calico I),0.273771228771234,0.2298083399762019,283
Lunch with Leslie,The CarlyQuinn Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120563645/lunch-with-leslie,1.5,-1,Sport,5.9,1,65.0,36.14475,-115.42653,The CarlyQuinn Crag,First Pullout (Calico I),0.273771228771234,0.2298083399762019,284
Miss CarlyQuinn,The CarlyQuinn Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120563598/miss-carlyquinn,1.9,-1,Sport,5.8+,1,65.0,36.14475,-115.42653,The CarlyQuinn Crag,First Pullout (Calico I),0.273771228771234,0.2298083399762019,285
The Great White Dog,The CarlyQuinn Crag > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120563621/the-great-white-dog,1.7,-1,Sport,5.10b/c,1,65.0,36.14475,-115.42653,The CarlyQuinn Crag,First Pullout (Calico I),0.273771228771234,0.2298083399762019,286
Holy Chelonians,Tortuga Tower > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120304512/holy-chelonians,2.1,-1,Sport,5.10d,1,60.0,36.14518,-115.42732,Tortuga Tower,First Pullout (Calico I),0.2745254745254705,0.1778342994201512,287
Shell Game,Tortuga Tower > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120304540/shell-game,2.0,-1,Sport,5.11,1,40.0,36.14518,-115.42732,Tortuga Tower,First Pullout (Calico I),0.2745254745254705,0.1778342994201512,288
Tortuga Tower,Tortuga Tower > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/114128912/tortuga-tower,3.1,-1,Sport,5.11a,1,70.0,36.14518,-115.42732,Tortuga Tower,First Pullout (Calico I),0.2745254745254705,0.1778342994201512,289
Turtle Track,Tortuga Tower > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/114128901/turtle-track,3.5,-1,Sport,5.10d,1,70.0,36.14518,-115.42732,Tortuga Tower,First Pullout (Calico I),0.2745254745254705,0.1778342994201512,290
Variable Pessimism,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663350/variable-pessimism,2.4,-1,Sport,5.8,1,45.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,291
End On A High Note,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663464/end-on-a-high-note,2.2,-1,Sport,5.10d,1,40.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,292
Pathological Clinger,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663455/pathological-clinger,2.8,-1,Sport,5.10c,1,55.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,293
Joy Flakes,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663470/joy-flakes,2.8,-1,Sport,5.10b/c,1,35.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,294
Verticissitudes,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663383/verticissitudes,1.9,-1,Sport,5.1,1,35.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,295
It's Tricky To Rock A Climb,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663442/its-tricky-to-rock-a-climb,3.1,-1,Sport,5.10b,1,55.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,296
Pseudofolliculitis Barbae,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663419/pseudofolliculitis-barbae,2.5,-1,Sport,5.10b,1,35.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,297
Grave Peril,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663431/grave-peril,2.4,-1,Sport,5.10a,1,60.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,298
Scream With Me,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663392/scream-with-me,3.0,-1,Sport,5.10a,1,35.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,299
Shrinking Shadow,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663372/shrinking-shadow,2.2,-1,Sport,5.10a,1,35.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,300
Powered By Anxiety,Upper Rift > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126663364/powered-by-anxiety,2.5,-1,Sport,5.10a,1,45.0,36.14617,-115.42828,Upper Rift,The Rift,0.2749750249750357,0.0892792288059217,301
Save On-sight,Northeast Wall > Classic Rock Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122128635/save-on-sight,1.9,-1,"Sport, TR",5.8,1,45.0,36.14575,-115.42805,Northeast Wall,Classic Rock Wall,0.2750499500499562,0.1204274337378923,302
Climber of 5.9,Northeast Wall > Classic Rock Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122128607/climber-of-59,2.4,-1,"Sport, TR",5.9-,1,50.0,36.14575,-115.42805,Northeast Wall,Classic Rock Wall,0.2750499500499562,0.1204274337378923,303
Dirty Clings Done Dirt Cheap,Northeast Wall > Classic Rock Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122003647/dirty-clings-done-dirt-cheap,2.4,-1,"Sport, TR",5.10a,1,45.0,36.14575,-115.42805,Northeast Wall,Classic Rock Wall,0.2750499500499562,0.1204274337378923,304
I’ll Send It That Way,Northeast Wall > Classic Rock Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122009236/ill-send-it-that-way,2.7,-1,Sport,5.10a,1,50.0,36.14575,-115.42805,Northeast Wall,Classic Rock Wall,0.2750499500499562,0.1204274337378923,305
High-hueco To Hell,Northeast Wall > Classic Rock Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122009198/high-hueco-to-hell,2.8,-1,Sport,5.10d,1,45.0,36.14575,-115.42805,Northeast Wall,Classic Rock Wall,0.2750499500499562,0.1204274337378923,306
Climber’s Paradise,Northeast Wall > Classic Rock Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122009393/climbers-paradise,3.3,-1,Sport,5.10-,1,50.0,36.14575,-115.42805,Northeast Wall,Classic Rock Wall,0.2750499500499562,0.1204274337378923,307
I Would Climb Any-cling for Love,Northeast Wall > Classic Rock Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/122009314/i-would-climb-any-cling-for-love,2.9,-1,Sport,5.11a,1,65.0,36.14575,-115.42805,Northeast Wall,Classic Rock Wall,0.2750499500499562,0.1204274337378923,308
Prosopagnosia,Rift Corridor - Right > The Rift Corridor > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126660785/prosopagnosia,2.6,-1,Sport,5.10c/d,1,40.0,36.14631,-115.42847,Rift Corridor - Right,The Rift Corridor,0.2751198801198942,0.074791716955917,309
Twisted Nerve,Rift Corridor - Right > The Rift Corridor > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126660884/twisted-nerve,2.6,-1,Sport,5.11-,1,30.0,36.14631,-115.42847,Rift Corridor - Right,The Rift Corridor,0.2751198801198942,0.074791716955917,310
Off With Your Feet,Rift Corridor - Right > The Rift Corridor > The Rift > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/126660971/off-with-your-feet,1.3,-1,Sport,5.11c,1,25.0,36.14631,-115.42847,Rift Corridor - Right,The Rift Corridor,0.2751198801198942,0.074791716955917,311
