Route,Location,URL,Avg Stars,Your Stars,Route Type,Rating,Pitches,Length,Area Latitude,Area Longitude
Blue Bunny,Frigid Air Buttress > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107616415/blue-bunny,1.6,-1,Trad,5.7,1,150,36.14396,-115.49249
Fold Out,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732605/fold-out,2.6,-1,Trad,5.8,1,120,36.144,-115.49069
Sensuous Mortician,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732602/sensuous-mortician,3.1,-1,Trad,5.9,1,120,36.144,-115.49069
Back in Time,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107903955/back-in-time,3.5,-1,Trad,5.10a,1,120,36.144,-115.49069
Black Magic Panties,Necromancer Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732599/black-magic-panties,2.7,-1,Trad,5.10- R,1,120,36.144,-115.49069
Shady Ladies,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732749/shady-ladies,2.3,-1,Trad,5.7,1,100,36.145,-115.49403
Van Allen Belt,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732752/van-allen-belt,2,-1,Trad,5.7 R,1,50,36.145,-115.49403
Cold September Corner,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732746/cold-september-corner,3.3,-1,Trad,5.8,1,60,36.145,-115.49403
Fork In The Road,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/125294216/fork-in-the-road,2,-1,Trad,5.8,1,90,36.145,-115.49403
Adapt and Overcome,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116688459/adapt-and-overcome,2.5,-1,Trad,5.8 PG13,1,100,36.145,-115.49403
Aesop’s Arete,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/117952618/aesops-arete,2.7,-1,Trad,5.9,1,100,36.145,-115.49403
Magellanic Cloud,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732755/magellanic-cloud,3,-1,Trad,5.9,1,50,36.145,-115.49403
Mister Masters,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105733163/mister-masters,3.3,-1,Trad,5.9+,1,70,36.145,-115.49403
Starless and Bible Black,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/117952585/starless-and-bible-black,2.8,-1,Trad,5.9+,1,100,36.145,-115.49403
Blast From the Past,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/113885778/blast-from-the-past,2,-1,Trad,5.10-,1,115,36.145,-115.49403
Tie me Tightly,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105946280/tie-me-tightly,2.5,-1,Trad,5.10-,1,90,36.145,-115.49403
Bad Day at Black Rocks,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105957067/bad-day-at-black-rocks,1.6,-1,Trad,5.10b,1,70,36.145,-115.49403
Pit Bull,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105957078/pit-bull,2.7,-1,Trad,5.10b,1,60,36.145,-115.49403
Whipper,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105813442/whipper,2.3,-1,Trad,5.1,1,70,36.145,-115.49403
Mister Freeze's Face,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105813406/mister-freezes-face,2,-1,Trad,5.10d,1,130,36.145,-115.49403
Water Dog,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105957074/water-dog,2.7,-1,Trad,5.10d,1,60,36.145,-115.49403
Hot August Night,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105811808/hot-august-night,3,-1,Trad,5.11- PG13,1,90,36.145,-115.49403
Mercedes,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105733166/mercedes,2.7,-1,Trad,5.11a/b,1,70,36.145,-115.49403
Whiplash,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106415210/whiplash,2.8,-1,Trad,5.11,1,60,36.145,-115.49403
Spring Break,Sunnyside Crags > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732887/spring-break,3.8,-1,Trad,5.11+,1,70,36.145,-115.49403
Pork Soda,Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107131186/pork-soda,1.8,-1,Trad,5.9,1,90,36.1437,-115.49583
Amazing Grace,Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105964367/amazing-grace,2.9,-1,Trad,5.9+ PG13,1,110,36.1437,-115.49583
Weenie Juice,Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107771341/weenie-juice,3.6,-1,Trad,5.10a,1,160,36.1437,-115.49583
Greased Lightning,Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105796602/greased-lightning,3.4,-1,Trad,5.10- R,1,200,36.1437,-115.49583
Grape Nuts,Refrigerator Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105964379/grape-nuts,3,-1,Sport,5.10c PG13,1,110,36.1437,-115.49583
Drat Crack,Upper Sunnyside Crag > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105733088/drat-crack,2.3,-1,Trad,5.9-,1,140,36.14466,-115.49744
Good-Time Charlie,Upper Sunnyside Crag > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105733097/good-time-charlie,2.5,-1,Trad,5.9,1,140,36.14466,-115.49744
Lebanese NoNo,Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109703639/lebanese-nono,2,-1,Trad,5.7,1,80,36.14407,-115.49278
Grumblefish,Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116164988/grumblefish,1.5,-1,Trad,5.10a,1,100,36.14407,-115.49278
Romeo Charlie,Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116794855/romeo-charlie,3,-1,Trad,5.10a R,1,130,36.14407,-115.49278
Smears for Fears,Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105917169/smears-for-fears,3.7,-1,Trad,5.11b/c,1,100,36.14407,-115.49278
Rojo,Smears for Fears Area > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105890010/rojo,3.7,-1,Trad,5.11d,1,115,36.14407,-115.49278
How-ard,Cauldron Wall > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/121584634/how-ard,2.5,-1,Trad,5.9,1,130,36.1423,-115.49143
Tarkus Crack,Tiki Cliff > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/113478032/tarkus-crack,3.1,-1,Trad,5.8-,1,45,36.14312,-115.49095
Lumpy arete,Tiki Cliff > Icebox Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/119176288/lumpy-arete,2.8,-1,Trad,5.8,1,180,36.14312,-115.49095
Diagon Alley,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732581/diagon-alley,1.6,-1,Trad,5.7,1,90,36.03248,-115.4618
Back to Basics,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732623/back-to-basics,2.3,-1,Trad,5.7,1,100,36.03248,-115.4618
Basilisk Fang,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106408841/basilisk-fang,1.9,-1,Trad,5.7,1,140,36.03248,-115.4618
Get Rad,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107889970/get-rad,3.6,-1,Trad,5.8,1,150,36.03248,-115.4618
Cadillac Crack,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732449/cadillac-crack,3.8,-1,Trad,5.9,1,130,36.03248,-115.4618
Azkaban Jam,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732464/azkaban-jam,2.1,-1,Trad,5.9,1,140,36.03248,-115.4618
Rita Skeeter,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732572/rita-skeeter,3,-1,Trad,5.9 R,1,120,36.03248,-115.4618
Dark Arts,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732575/dark-arts,2.6,-1,Trad,5.9,1,120,36.03248,-115.4618
Moaning Myrtle,The Rad Cliff > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732578/moaning-myrtle,1,-1,Trad,5.9,1,120,36.03248,-115.4618
Closed on Monday,North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/119696653/closed-on-monday,2.7,-1,Trad,5.10a,1,50,36.03509,-115.46345
Rain Dance,North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107273805/rain-dance,2.9,-1,Trad,5.10a,1,130,36.03509,-115.46345
Mazatlan,North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732500/mazatlan,3.5,-1,Trad,5.10d,1,150,36.03509,-115.46345
Perplexity,North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105958924/perplexity,2.7,-1,Trad,5.10d,1,150,36.03509,-115.46345
Open-and-Shut,North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/119697138/open-and-shut,2.6,-1,Trad,5.10d,1,50,36.03509,-115.46345
Desert Wave,North Face > Whiskey Peak > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109665790/desert-wave,2,-1,Trad,5.11b,1,150,36.03509,-115.46345
Headlamp Mechanics,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120039381/headlamp-mechanics,3.6,-1,Trad,5.9,1,110,36.03897,-115.46096
Bone Saw,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120047352/bone-saw,2.5,-1,Trad,5.10a,1,55,36.03897,-115.46096
Step Into The Squeezer,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107483384/step-into-the-squeezer,2.7,-1,Trad,5.10-,1,100,36.03897,-115.46096
Handbone,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106388482/handbone,3.3,-1,Trad,5.1,1,70,36.03897,-115.46096
Clipper,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107413819/clipper,2.3,-1,Trad,5.11a,1,90,36.03897,-115.46096
Lizard Locks,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107477781/lizard-locks,3.5,-1,Trad,5.11,1,60,36.03897,-115.46096
All the Right Moves,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120051824/all-the-right-moves,2.5,-1,"Trad, TR",5.11 R,1,60,36.03897,-115.46096
West Edge Lane,The Monument > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107435440/west-edge-lane,2,-1,Sport,5.11d,1,80,36.03897,-115.46096
Wish Bone,Burlap Buttress > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732770/wish-bone,2.1,-1,Trad,5.9 R,1,125,36.03705,-115.46378
The Prism Corner,Burlap Buttress > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106129960/the-prism-corner,2.2,-1,Trad,5.9,1,60,36.03705,-115.46378
Leaky Facet,Burlap Buttress > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/120310553/leaky-facet,1.5,-1,Trad,5.9+,1,60,36.03705,-115.46378
Millepede,Burlap Buttress > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109551547/millepede,2.9,-1,Trad,5.1,1,90,36.03705,-115.46378
Yucca Butt,Burlap Buttress > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109929122/yucca-butt,3,-1,Trad,5.10+,1,80,36.03705,-115.46378
Arch Rival,Burlap Buttress > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108355932/arch-rival,2,-1,Trad,5.11d,1,70,36.03705,-115.46378
Spark Plug,Black Velvet Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106145798/spark-plug,3.2,-1,Trad,5.10b,1,100,36.03518,-115.46652
The Fiddler Roof,Black Velvet Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107959290/the-fiddler-roof,3.6,-1,Trad,5.1,1,185,36.03518,-115.46652
Johnny Come Lately,Black Velvet Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732806/johnny-come-lately,3,-1,Sport,5.10+,1,120,36.03518,-115.46652
Cutting Edge,Black Velvet Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105957640/cutting-edge,3.9,-1,Trad,5.11c PG13,1,125,36.03518,-115.46652
Circus Act,Western Spaces Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109984701/circus-act,1,-1,"Trad, Aid",5.9 C0,1,150,36.03712,-115.47075
Mr. Natural of the Desert,Western Spaces Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106411265/mr-natural-of-the-desert,4,-1,Trad,5.10d,1,150,36.03712,-115.47075
Tri Tip,The Texas Wall / West Velvet Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/121565562/tri-tip,4,-1,Trad,5.11d X,1,,36.03599,-115.46885
Mustang Corner,Mustang Wall > Black Velvet Canyon > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/114107843/mustang-corner,3.5,-1,Trad,5.11d,1,80,36.04497,-115.46271
Dogma,Horseshoe Wall > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732656/dogma,3.6,-1,Trad,5.11c,1,,36.09221,-115.48184
The Ruckus,Basin Wall and Outlaw Wall > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/112381723/the-ruckus,3.5,-1,Trad,5.1,1,115,36.08774,-115.48075
Impact Event,Mass Extinction Block > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/110244262/impact-event,3.3,-1,Trad,5.11d PG13,1,50,36.08402,-115.47528
Limón,Lower East Side > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116779341/limon,2,-1,Trad,5.7,1,75,36.09263,-115.47962
Sal,Lower East Side > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116779249/sal,3,-1,Trad,5.8,1,80,36.09263,-115.47962
Alice Austen,Pier 42 Far Left > Pier 42 > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/201442488/alice-austen,2,-1,Trad,5.7 PG13,1,80,36.08924,-115.4766
Hell's Gate,Pier 42 Far Left > Pier 42 > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/201442363/hells-gate,2,-1,Trad,5.7,1,80,36.08924,-115.4766
Tap'puts,Pier 42 Far Left > Pier 42 > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/201442295/tapputs,2,-1,Trad,5.7,1,80,36.08924,-115.4766
Nah'gah,Pier 42 Far Left > Pier 42 > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/201442001/nahgah,2,-1,Trad,5.7,1,80,36.08924,-115.4766
Drundledat,Pier 42 Left Center > Pier 42 > Mount Wilson > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/201442721/drundledat,2,-1,Trad,5.8,1,100,36.08787,-115.47475
Dog Wall | 4729,Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107404729/dog-wall-4729,1.5,-1,Trad,5.7,1,,36.14745,-115.42927
Doggy Style,Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107404708/doggy-style,2,-1,Trad,5.8,1,,36.14745,-115.42927
Pleasure Dog (aka It's a Bitch),Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105880562/pleasure-dog-aka-its-a-bitch,2.5,-1,Sport,5.10b,1,50,36.14745,-115.42927
Cat Walk,Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105880631/cat-walk,2.4,-1,Sport,5.10b,1,40,36.14745,-115.42927
Man's Best Friend,Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107404740/mans-best-friend,2,-1,Trad,5.10c R,1,50,36.14745,-115.42927
"Dog Logic (aka Here Kitty, Kitty)",Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105880567/dog-logic-aka-here-kitty-kitty,2.5,-1,Sport,5.11b,1,50,36.14745,-115.42927
Poodle Chainsaw Massacre,Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106347324/poodle-chainsaw-massacre,2.6,-1,Sport,5.11c,1,45,36.14745,-115.42927
Cujo,Dog Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105905259/cujo,3.2,-1,Sport,5.11d,1,30,36.14745,-115.42927
Tuna and Chips,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732302/tuna-and-chips,2.2,-1,Trad,5.7 R,1,230,36.14846,-115.42939
Tuna Cookies,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732305/tuna-cookies,2.5,-1,Trad,5.7 R,1,230,36.14846,-115.42939
Dolphin Safe,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107015275/dolphin-safe,2.6,-1,Sport,5.7 R,1,110,36.14846,-115.42939
No Hay Sequia,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116238857/no-hay-sequia,2.3,-1,Sport,5.8-,1,85,36.14846,-115.42939
Reverse Osmosis,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116238844/reverse-osmosis,2.7,-1,Sport,5.8,1,70,36.14846,-115.42939
The Minnow,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/109881948/the-minnow,2.1,-1,TR,5.8,1,30,36.14846,-115.42939
Albacore Man,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107015300/albacore-man,2.4,-1,Sport,5.8 R,1,100,36.14846,-115.42939
Water Streak,Tuna and Chips Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732308/water-streak,2.7,-1,Sport,5.10a R,1,230,36.14846,-115.42939
Silk Panties,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732614/silk-panties,2.1,-1,Sport,5.7,1,60,36.14964,-115.4299
The Last Panty,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106931187/the-last-panty,2.2,-1,Sport,5.7,1,45,36.14964,-115.4299
Tighty Whities,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105922522/tighty-whities,1.9,-1,TR,5.7+,1,40,36.14964,-115.4299
Brief Encounter,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105813275/brief-encounter,2.6,-1,Sport,5.8,1,60,36.14964,-115.4299
Boxer Rebellion,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105813282/boxer-rebellion,2.5,-1,Sport,5.8,1,60,36.14964,-115.4299
Sacred Undergarment Squeeze Job,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105903232/sacred-undergarment-squeeze-job,2.7,-1,Sport,5.8,1,70,36.14964,-115.4299
Black Lace,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108544422/black-lace,2.5,-1,Sport,5.8,1,60,36.14964,-115.4299
Office Party,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116248273/office-party,2.5,-1,Sport,5.9,1,35,36.14964,-115.4299
Panty Line,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105939414/panty-line,2.8,-1,"Trad, TR",5.10a R,1,80,36.14964,-115.4299
Butt Floss,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732314/butt-floss,1.7,-1,TR,5.10a,1,30,36.14964,-115.4299
Panty Raid,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732941/panty-raid,3.3,-1,Trad,5.10a,1,80,36.14964,-115.4299
Edible Panties,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106423068/edible-panties,2.6,-1,"Trad, TR",5.10- X,1,70,36.14964,-115.4299
Eat My Shorts,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/108960106/eat-my-shorts,0,-1,Trad,5.10 R,1,30,36.14964,-115.4299
Office Manager,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/116248208/office-manager,2.4,-1,Trad,5.10c,1,35,36.14964,-115.4299
Victoria's Secret,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732524/victorias-secret,2.2,-1,"Sport, TR",5.10c,1,80,36.14964,-115.4299
Panty Mime,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105811601/panty-mime,2.6,-1,Sport,5.10d,1,50,36.14964,-115.4299
Corner Office,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/113945413/corner-office,2.8,-1,Sport,5.10d,1,40,36.14964,-115.4299
Office Expansion,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/114276109/office-expansion,2.3,-1,Sport,5.11a,1,40,36.14964,-115.4299
Totally Clips,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732320/totally-clips,3,-1,Sport,5.11a,1,60,36.14964,-115.4299
Butt Floss Left,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732317/butt-floss-left,1.7,-1,TR,5.11-,1,30,36.14964,-115.4299
Viagra Falls,Panty Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732629/viagra-falls,2.7,-1,Sport,5.11d,1,50,36.14964,-115.4299
Unknown,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926132/unknown,0,-1,Trad,5.9 R,1,75,36.14801,-115.43051
Bengal,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106619121/bengal,1.3,-1,Trad,5.9,1,60,36.14801,-115.43051
A Fraction of the Action,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105732635/a-fraction-of-the-action,3,-1,Sport,5.10a,1,120,36.14801,-115.43051
White Tigers,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926137/white-tigers,2.2,-1,Sport,5.10b PG13,1,80,36.14801,-115.43051
Action by the Fraction,Tiger Stripe Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107020606/action-by-the-fraction,1.9,-1,Trad,5.10c PG13,1,70,36.14801,-115.43051
Scent of the Ultraman,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/106327989/scent-of-the-ultraman,2.3,-1,"Sport, TR",5.7,1,110,36.15151,-115.43125
Godzilla,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/107010956/godzilla,2.8,-1,"Sport, TR",5.7,1,120,36.15151,-115.43125
Unknown,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/125477212/unknown,1.3,-1,TR,5.7,1,115,36.15151,-115.43125
Rodan,Ultraman Wall > First Pullout (Calico I) > Red Rocks > Southern Nevada > Nevada,https://www.mountainproject.com/route/105926109/rodan,1.3,-1,"Trad, TR",5.7+ X,1,100,36.15151,-115.43125
